 #  | matching ident  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  Mag J  |  Mag H  |  Mag K  |  Mag g  |    spec. type     |#bib|#not
632 |WRAY 15-484      |Gaia DR3 5260146816531401600       |Em*|10 00 55.4500717224 -55 03 23.710356324|12.56    |12.87    |12.10    |12.31    |     ~   |10.917   |10.766   |10.678   |12.46    |OB:e               |   6|   0
633 |WRAY 15-485      |Gaia DR3 5243307074378214016       |Em*|10 00 58.6001683776 -68 17 13.641562356|     ~   |11.56    |11.06    |     ~   |     ~   |9.792    |9.522    |9.462    |     ~   |~                  |   5|   0
634 |WRAY 15-486      |Gaia DR3 5255750900320788352       |Em*|10 01 21.2568635832 -62 39 59.954710968|9.81     |11.02    |10.98    |10.64    |     ~   |10.251   |10.071   |9.656    |11.12    |G5                 |  18|   0
635 |WRAY 15-488      |Gaia DR3 5256807737168546048       |TT*|10 01 48.1087065048 -59 12 12.523440132|     ~   |10.30    |9.807    |     ~   |     ~   |8.112    |7.457    |6.916    |     ~   |F2IIIe             |  18|   0
636 |WRAY 15-489      |Gaia DR3 5246232252039308800       |Em*|10 01 32.5095577632 -65 31 34.427454240|9.81     |10.67    |10.52    |10.48    |     ~   |9.803    |9.637    |9.349    |11.05    |B2:nep             |  16|   0
637 |WRAY 15-490      |Gaia DR3 5255899918487364352       |Em*|10 02 02.4971306400 -61 57 16.220563668|     ~   |     ~   |14.50    |     ~   |15.82    |14.98    |15.06    |14.24    |     ~   |~                  |  13|   1
638 |WRAY 15-493      |Gaia DR3 5258468480740648064       |Em*|10 03 07.5376889256 -58 08 29.966019936|10.4     |10.64    |10.36    |10.29    |     ~   |9.058    |8.786    |8.610    |     ~   |B3                 |  17|   0
639 |WRAY 15-494      |Gaia DR3 5406858260784506112       |Em*|10 03 55.8768817344 -50 15 49.099478616|     ~   |11.11    |10.62    |     ~   |     ~   |9.896    |9.778    |9.704    |     ~   |F8                 |   3|   0
640 |WRAY 15-495      |Gaia DR3 5260109295695861120       |Em*|10 04 20.4569319384 -55 10 34.245745104|     ~   |11.74    |11.44    |10.95    |10.53    |9.960    |9.729    |9.455    |     ~   |B5e                |   3|   0
641 |WRAY 15-496      |Gaia DR3 5258349561694308096       |Or*|10 04 30.2839505304 -58 39 52.091224848|8.92     |10.38    |9.50     |9.68     |     ~   |6.217    |4.76     |3.65     |     ~   |B3I[e]             | 151|   0
642 |WRAY 15-497      |Gaia DR3 5259919801718112000       |Em*|10 04 46.0244459400 -55 17 30.056601984|     ~   |12.07    |11.50    |     ~   |     ~   |9.902    |9.706    |9.531    |     ~   |B7e                |   4|   0
643 |WRAY 15-498      |Gaia DR3 5258237961260082560       |Em*|10 05 53.1952522296 -59 27 56.312662788|     ~   |10.282   |10.215   |10.378   |     ~   |10.167   |10.163   |10.139   |10.601   |B7e                |   7|   0
644 |WRAY 15-501      |Gaia DR3 5420219732228461184       |PN |10 07 01.7656422504 -40 26 11.130553032|     ~   |10.14    |10.01    |     ~   |     ~   |9.754    |9.731    |9.723    |     ~   |A2V                | 408|   1
645 |WRAY 15-502      |Gaia DR3 5259899357680174720       |Em*|10 07 33.0510083088 -55 30 42.224312736|11.1     |11.57    |11.12    |10.99    |     ~   |9.927    |9.688    |9.363    |11.31    |OB+e               |  14|   0
646 |WRAY 15-503      |Gaia DR3 5230316035256377856       |Em*|10 07 33.6565252152 -71 43 53.258951100|     ~   |10.61    |10.56    |     ~   |     ~   |10.635   |10.531   |10.380   |     ~   |~                  |   4|   0
647 |WRAY 15-504      |Gaia DR3 5406612485580744832       |Be*|10 09 18.1364868912 -50 38 22.540747848|7.38     |7.99     |7.95     |     ~   |     ~   |7.709    |7.694    |7.535    |     ~   |B2IIIe             |  28|   0
648 |WRAY 15-505      |Gaia DR3 5258878598571865472       |Em*|10 09 15.2454291144 -57 26 39.791535576|12.51    |12.85    |12.51    |12.36    |     ~   |11.488   |11.293   |11.092   |12.66    |OB-e               |   7|   0
649 |WRAY 15-507      |Gaia DR3 5258914706349974656       |Y*O|10 10 00.3244888680 -57 02 07.354107816|     ~   |15.163   |13.643   |13.001   |     ~   |10.217   |8.360    |6.965    |14.424   |Be                 |  53|   0
650 |WRAY 15-509      |Gaia DR3 5256443042906853504       |WR*|10 10 31.9110817968 -60 38 42.419780376|     ~   |10.84    |10.65    |10.67    |     ~   |9.926    |9.736    |9.167    |10.57    |WC5                |  87|   0
651 |WRAY 15-510      |Gaia DR3 5259061667256877824       |LP?|10 10 45.3739297032 -56 20 01.701633660|     ~   |13.34    |12.4     |11.53    |10.46    |9.113    |8.56     |8.12     |     ~   |OB+:e              |   5|   0
652 |WRAY 15-511      |Gaia DR3 5258061111701675520       |Em*|10 10 45.7748719152 -59 28 47.081390016|11.41    |11.76    |11.15    |10.95    |     ~   |9.656    |9.379    |9.045    |11.54    |OB+e               |  13|   0
653 |WRAY 15-512      |Gaia DR3 5258813899182198656       |Em*|10 10 51.3450033432 -57 40 30.954909396|     ~   |12.36    |11.51    |     ~   |     ~   |10.006   |9.702    |9.581    |     ~   |~                  |   7|   0
654 |WRAY 15-513      |Gaia DR3 5258865473153537920       |Be*|10 10 59.2932933000 -57 09 26.457560064|10.03    |10.76    |10.25    |10.08    |     ~   |8.660    |8.446    |8.099    |10.93    |B1Ve               |  29|   0
655 |WRAY 15-514      |Gaia DR3 5258810806805860992       |Sy*|10 11 02.9432180688 -57 48 13.948381620|     ~   |11.26    |9.99     |     ~   |     ~   |5.150    |4.486    |3.915    |     ~   |M4IIIe             |  73|   0
656 |WRAY 15-515      |Gaia DR3 5407217491849535744       |LP?|10 11 37.0871792472 -48 52 30.267597936|     ~   |13.267   |11.42    |     ~   |     ~   |6.459    |5.686    |5.351    |12.326   |~                  |   6|   0
657 |WRAY 15-517      |Gaia DR3 5258012527027988864       |Em*|10 11 32.6131663128 -59 36 15.101072748|     ~   |     ~   |14.2     |     ~   |     ~   |10.873   |10.532   |10.166   |     ~   |~                  |   2|   0
658 |WRAY 15-518      |Gaia DR3 5257981740701847936       |Be*|10 11 36.2765589720 -59 53 01.623070572|     ~   |9.02     |9.03     |     ~   |     ~   |9.157    |9.160    |9.147    |     ~   |B5V                |  19|   0
659 |WRAY 15-519      |Gaia DR3 5258005655079965824       |Em*|10 11 36.8371427232 -59 49 28.856506260|     ~   |9.98     |9.98     |     ~   |     ~   |9.790    |9.720    |9.584    |     ~   |B5                 |   4|   0
660 |WRAY 15-520      |Gaia DR3 5258206895738705792       |EB*|10 11 47.3972794656 -58 37 58.959301404|     ~   |     ~   |14.2     |     ~   |     ~   |10.252   |9.795    |9.441    |     ~   |~                  |   4|   0
661 |WRAY 15-521      |Gaia DR3 5257968065524744448       |Em*|10 12 04.2828980256 -60 01 13.742615064|     ~   |     ~   |13.3     |     ~   |     ~   |11.572   |11.496   |11.435   |     ~   |~                  |   2|   0
662 |WRAY 15-522      |ESO 127-11                         |GiG|10 12 11.876 -62 32 00.20              |     ~   |13.9     |13.4     |13.5     |13.3     |10.542   |9.837    |9.482    |     ~   |~                  |  29|   1
663 |WRAY 15-523      |Gaia DR3 5258002322185781504       |Em*|10 12 36.4629057096 -59 41 38.583853224|     ~   |11.06    |10.22    |     ~   |     ~   |8.671    |8.253    |8.155    |     ~   |~                  |   6|   0
664 |WRAY 15-525      |Gaia DR3 5358547437856027520       |Em*|10 13 05.7057712656 -51 05 53.976769800|     ~   |8.82     |8.84     |     ~   |     ~   |8.667    |8.713    |8.706    |     ~   |B5II               |   9|   0
665 |WRAY 15-526      |Gaia DR3 5355304840627124992       |Em*|10 13 31.7094746016 -54 53 59.397023076|     ~   |9.94     |9.81     |     ~   |     ~   |9.532    |9.495    |9.370    |     ~   |B6/7               |   6|   0
666 |WRAY 15-527      |Gaia DR3 5252596882506854016       |Em*|10 13 35.0065666152 -63 00 11.701820016|10.07    |11.27    |11.21    |11.30    |     ~   |11.099   |11.130   |11.157   |11.39    |OB+e               |  16|   0
667 |WRAY 15-528      |Gaia DR3 5244683967868718208       |Em*|10 13 39.7083119208 -67 47 46.051190700|     ~   |14.266   |12.549   |12.16    |10.42    |9.040    |8.16     |7.896    |13.383   |~                  |   5|   0
668 |WRAY 15-529      |Gaia DR3 5258109730716229760       |Em*|10 14 43.2755829768 -59 11 07.208828052|     ~   |11.71    |11.43    |     ~   |     ~   |10.713   |10.557   |10.457   |     ~   |B                  |   4|   0
669 |WRAY 15-530      |Gaia DR3 5258785174447042688       |Em*|10 15 01.0299072432 -57 02 15.580234824|     ~   |13.08    |11.81    |     ~   |     ~   |10.0     |9.695    |9.485    |     ~   |~                  |   2|   0
670 |WRAY 15-531      |Gaia DR3 5258132992244008448       |Em*|10 15 02.5490103648 -59 09 36.344126484|11.03    |11.51    |11.03    |10.94    |     ~   |9.792    |9.562    |9.314    |11.38    |OB+e               |  12|   0
671 |WRAY 15-532      |Gaia DR3 5230781506633651072       |LP*|10 14 35.3957389728 -70 31 09.177220308|     ~   |14.179   |12.653   |11.99    |10.04    |7.991    |7.05     |6.737    |13.338   |~                  |   7|   0
672 |WRAY 15-533      |Gaia DR3 5253377776290465152       |Be*|10 15 02.4019480080 -60 55 21.227843676|9.56     |10.37    |10.24    |10.70    |     ~   |10.366   |10.236   |10.112   |10.37    |B0Ve               |  29|   0
673 |WRAY 15-534      |Gaia DR3 5258135466161280128       |Em*|10 15 11.1517491312 -59 02 44.017094256|     ~   |     ~   |13.4     |     ~   |     ~   |10.787   |10.531   |10.271   |     ~   |~                  |   3|   0
674 |WRAY 15-535      |Gaia DR3 5258631345907368064       |LP?|10 15 21.9721722816 -57 51 42.738609492|12.27    |11.72    |10.15    |9.78     |     ~   |5.762    |4.959    |4.281    |11.13    |M3                 |  41|   0
675 |WRAY 15-536      |Gaia DR3 5355221140301978368       |Be*|10 16 20.6463551616 -55 35 51.316367604|8.98     |9.51     |9.10     |9.26     |     ~   |6.647    |5.999    |5.665    |9.71     |Bp_sh              |  44|   0
676 |WRAY 15-537      |Gaia DR3 5255127855192363136       |Em*|10 16 53.5557258648 -59 10 22.649612088|     ~   |     ~   |14.2     |     ~   |     ~   |10.543   |10.139   |9.746    |     ~   |~                  |   2|   0
677 |WRAY 15-538      |Gaia DR3 5258583929469166720       |WR*|10 17 02.2743231360 -57 54 46.875258324|11.1     |11.19    |10.83    |10.59    |     ~   |8.566    |8.21     |7.676    |10.94    |WN4-s              | 178|   1
