_r,AllWISE,RAJ2000,DEJ2000,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qph,query_idx,gaia_id,sep_arcsec
0.181,J192815.62+193321.5,292.0650882,19.5559974,7.795,7.42,5.167,3.201,0.024,0.019,0.018,0.027,AAAA,62,Gaia DR3 4515628288919542784,0.2112985571448484
0.197,J105138.88-605634.7,162.9120082,-60.942977,9.144,8.983,8.644,8.51,0.023,0.02,0.051,0.273,AAAB,63,Gaia DR3 5242117089256813568,0.17069505104546057
0.399,J104352.25-600703.6,160.96773,-60.11767,5.628,5.205,4.826,2.669,0.116,0.066,0.025,,BAAU,64,Gaia DR3 5254268071479968512,0.3894133454655587
0.404,J102418.39-574830.1,156.0766637,-57.8083741,6.118,5.764,0.992,-3.156,0.098,0.073,,,AAZZ,65,Gaia DR3 5255677056923564544,0.4244731101184596
0.22,J102328.81-574629.4,155.8700784,-57.7748583,7.529,7.197,10.728,0.497,0.027,0.02,,,AAZZ,67,Gaia DR3 5255679638225357952,0.24844277486033525
0.216,J101031.91-603842.1,152.6329584,-60.6450532,8.855,8.524,7.755,7.066,0.023,0.02,0.018,0.068,AAAA,68,Gaia DR3 5256443042906853504,0.20894002311810092
0.229,J085459.14-473532.4,133.7464515,-47.5923371,6.199,5.898,5.269,4.519,0.041,0.029,0.015,0.028,AAAA,69,Gaia DR3 5328783280128054784,0.2000892959712946
0.68,J115603.71-631855.0,179.0154887,-63.3152792,8.572,8.42,7.681,6.016,0.019,0.019,0.037,0.063,AAAA,70,Gaia DR3 5333031827450024320,0.679675042608502
1.081,J115004.08-625214.9,177.5170413,-62.8708238,9.877,9.5,8.986,8.265,0.023,0.021,0.033,0.259,AAAB,71,Gaia DR3 5333291106030306688,1.0511947893890656
0.258,J115620.53-623438.0,179.0855457,-62.5772361,9.498,9.144,8.605,8.822,0.023,0.02,0.033,,AAAU,72,Gaia DR3 5334579768033444224,0.28312214967888744
0.707,J110548.86-611341.5,166.4535886,-61.2282083,9.883,9.607,9.284,8.554,0.023,0.021,0.177,,AABU,74,Gaia DR3 5337277763391663488,0.6866846937632434
1.283,J110618.68-611417.1,166.5778418,-61.2381023,7.32,7.077,6.454,5.621,0.026,0.02,0.022,0.053,AAAA,75,Gaia DR3 5337278278787846784,1.264942971832656
3.542,J110618.68-611417.1,166.5778418,-61.2381023,7.32,7.077,6.454,5.621,0.026,0.02,0.022,0.053,AAAA,76,Gaia DR3 5337278278787851136,3.561148247346715
2.73,J111507.82-611652.7,168.7826245,-61.2813135,8.523,7.007,-5.5,,0.073,0.054,,,AAUX,77,Gaia DR3 5337417985482248576,2.7385461945292695
0.37,J105742.90-603400.4,164.4287578,-60.5667965,8.952,8.556,7.403,5.141,0.023,0.021,0.051,0.064,AAAA,78,Gaia DR3 5338030172959579008,0.39746017510409565
2.021,J105952.96-595241.3,164.9706979,-59.8781661,9.137,8.87,7.953,6.064,0.021,0.018,0.129,0.258,AABB,80,Gaia DR3 5338166855999992448,2.0134276858500595
0.476,J105611.63-602712.9,164.0484684,-60.453595,3.794,3.121,1.927,-4.783,0.337,0.286,0.047,0.001,BBAA,81,Gaia DR3 5338220285385672064,0.5052790844131465
0.187,J110232.95-592620.9,165.6373035,-59.4391645,8.682,8.24,7.351,6.309,0.023,0.02,0.025,0.046,AAAA,82,Gaia DR3 5338564015865196800,0.177827141151337
0.28,J102502.59-572147.5,156.2608062,-57.3632058,8.585,8.352,8.309,7.816,0.023,0.02,0.085,0.52,AAAC,83,Gaia DR3 5351766715283439104,0.28785768807280676
0.237,J075946.23-284403.2,119.9426465,-28.7342409,9.133,8.873,8.168,7.297,0.022,0.02,0.023,0.109,AAAB,84,Gaia DR3 5597770416085979648,0.24720436121004705
0.19,J141303.54-652652.8,213.2647587,-65.448008,9.847,9.547,8.794,8.037,0.023,0.02,0.025,0.192,AAAB,85,Gaia DR3 5852718536596531968,0.21717969613123572
0.775,J130807.12-651822.4,197.0296834,-65.3062419,5.139,4.885,4.805,4.14,0.144,0.05,0.014,0.025,BAAA,86,Gaia DR3 5858915766471945984,0.7732944095341443
0.216,J131127.70-634559.6,197.8654363,-63.7665754,7.262,6.611,5.716,4.139,0.029,0.02,0.016,0.03,AAAA,87,Gaia DR3 5862209147378793344,0.22120776689586125
0.414,J131227.59-624422.0,198.1149654,-62.7394575,10.199,9.8,9.302,1.553,0.031,0.038,,0.028,AAUA,89,Gaia DR3 5862501613104119424,0.38405907516972904
