_r,2MASS,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qflg,query_idx,gaia_id,sep_arcsec
0.017,16114370-5110166,242.932105,-51.171299,10.259,8.973,8.097,0.022,0.027,0.024,AAA,118,Gaia DR3 5934986165584098048,0.02331382054186662
0.079,16194019-4913589,244.917466,-49.233055,10.306,9.235,8.475,0.024,0.024,0.033,AAA,119,Gaia DR3 5935620137100518016,0.10615304310940372
4.874,16194017-4914039,244.917393,-49.234428,14.638,10.923,10.307,0.138,,,BUU,119,Gaia DR3 5935620137100518016,4.859450197979456
0.093,16593396-4705365,254.891528,-47.093491,10.13,9.389,8.912,0.027,0.025,0.024,AAA,120,Gaia DR3 5939094009724936320,0.10723721236084212
0.772,16470763-4552352,251.781829,-45.876465,9.976,8.814,8.332,0.148,0.17,0.224,BCD,121,Gaia DR3 5940105830996862208,0.7795978665400569
0.016,16470396-4551377,251.766501,-45.860477,10.131,7.965,6.739,0.047,,,AUU,128,Gaia DR3 5940106007100719872,0.015634712543963036
3.762,16470432-4551379,251.768004,-45.860535,11.436,8.5,7.284,0.041,,,AUU,128,Gaia DR3 5940106007100719872,3.787453173423616
4.028,16470846-4550493,251.785261,-45.847034,8.024,6.924,6.33,0.021,0.026,0.02,AAA,131,Gaia DR3 5940106041452121472,4.020082825018525
3.258,16470661-4550422,251.777583,-45.845074,6.603,7.044,6.171,0.018,,,AUU,132,Gaia DR3 5940106041452144896,3.2491385468320453
0.502,16470601-4550234,251.775048,-45.839844,10.012,8.879,8.249,0.046,,,AUU,133,Gaia DR3 5940106041452163840,0.5131796098947019
0.09,16470088-4551206,251.7537,-45.855728,10.896,9.661,8.869,0.101,,,AUU,134,Gaia DR3 5940106655630578560,0.10362218946510716
2.478,16470136-4551456,251.755678,-45.862686,8.133,7.686,6.93,0.02,,,AUU,135,Gaia DR3 5940106659927357696,2.448989306019902
2.736,16470222-4550590,251.759273,-45.849747,6.716,5.49,4.795,0.018,0.021,0.018,AAA,137,Gaia DR3 5940106763006638080,2.7153781278980045
4.872,16470369-4550435,251.765404,-45.845417,5.714,1.866,6.023,0.018,9.996,,AFU,138,Gaia DR3 5940106797374720640,4.850196894164503
